2023/06/07 16:28:38,484 [INFO ]  [org.apache.juli.logging.DirectJDKLog] [restartedMain]- Starting Servlet engine: [Apache Tomcat/9.0.75]
 -2023/06/07 16:37:42,396 [WARN ]  [org.springframework.web.servlet.handler.AbstractHandlerExceptionResolver] [http-nio-3000-exec-4]- Resolved [org.springframework.web.bind.MethodArgumentNotValidException: Validation failed for argument [0] in public java.lang.String com.example.demo.controller.Prac02Controller.createBoard(com.example.demo.model.Board) with 2 errors: [Field error in object 'board' on field 'content': rejected value [null]; codes [NotBlank.board.content,NotBlank.content,NotBlank.java.lang.String,NotBlank]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [board.content,content]; arguments []; default message [content]]; default message [내용은 공백일 수 없습니다]] [Field error in object 'board' on field 'title': rejected value [null]; codes [NotBlank.board.title,NotBlank.title,NotBlank.java.lang.String,NotBlank]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [board.title,title]; arguments []; default message [title]]; default message [제목은 공백일 수 없습니다]] ]
 -2023/06/07 16:38:12,642 [ERROR]  [com.example.demo.controller.ExceptionController] [http-nio-3000-exec-5]- handleMethodArgumentNotValid: Validation failed for argument [0] in public java.lang.String com.example.demo.controller.Prac02Controller.createBoard(com.example.demo.model.Board): [Field error in object 'board' on field 'content': rejected value [null]; codes [NotBlank.board.content,NotBlank.content,NotBlank.java.lang.String,NotBlank]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [board.content,content]; arguments []; default message [content]]; default message [내용은 공백일 수 없습니다]] 
 -2023/06/07 16:38:12,643 [WARN ]  [org.springframework.web.servlet.handler.AbstractHandlerExceptionResolver] [http-nio-3000-exec-5]- Resolved [org.springframework.web.bind.MethodArgumentNotValidException: Validation failed for argument [0] in public java.lang.String com.example.demo.controller.Prac02Controller.createBoard(com.example.demo.model.Board): [Field error in object 'board' on field 'content': rejected value [null]; codes [NotBlank.board.content,NotBlank.content,NotBlank.java.lang.String,NotBlank]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [board.content,content]; arguments []; default message [content]]; default message [내용은 공백일 수 없습니다]] ]
 -2023/06/07 16:38:32,708 [DEBUG]  [com.example.demo.controller.Prac02Controller] [http-nio-3000-exec-6]- createBoard Board : Board(bbsseq=0, title=abc, content=123, del=0).
 -2023/06/07 16:46:44,045 [ERROR]  [com.example.demo.controller.ExceptionController] [http-nio-3000-exec-8]- httpMessageNotReadableExceptionHandler: JSON parse error: Unexpected character ('}' (code 125)): was expecting double-quote to start field name; nested exception is com.fasterxml.jackson.core.JsonParseException: Unexpected character ('}' (code 125)): was expecting double-quote to start field name
 at [Source: (org.springframework.util.StreamUtils$NonClosingInputStream); line: 3, column: 2]
 -2023/06/07 16:46:44,046 [WARN ]  [org.springframework.web.servlet.handler.AbstractHandlerExceptionResolver] [http-nio-3000-exec-8]- Resolved [org.springframework.http.converter.HttpMessageNotReadableException: JSON parse error: Unexpected character ('}' (code 125)): was expecting double-quote to start field name; nested exception is com.fasterxml.jackson.core.JsonParseException: Unexpected character ('}' (code 125)): was expecting double-quote to start field name<EOL> at [Source: (org.springframework.util.StreamUtils$NonClosingInputStream); line: 3, column: 2]]
 -2023/06/07 16:46:47,960 [ERROR]  [com.example.demo.controller.ExceptionController] [http-nio-3000-exec-9]- handleMethodArgumentNotValid: Validation failed for argument [0] in public java.lang.String com.example.demo.controller.Prac02Controller.createBoard(com.example.demo.model.Board): [Field error in object 'board' on field 'content': rejected value [null]; codes [NotBlank.board.content,NotBlank.content,NotBlank.java.lang.String,NotBlank]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [board.content,content]; arguments []; default message [content]]; default message [내용은 공백일 수 없습니다]] 
 -2023/06/07 16:46:47,961 [WARN ]  [org.springframework.web.servlet.handler.AbstractHandlerExceptionResolver] [http-nio-3000-exec-9]- Resolved [org.springframework.web.bind.MethodArgumentNotValidException: Validation failed for argument [0] in public java.lang.String com.example.demo.controller.Prac02Controller.createBoard(com.example.demo.model.Board): [Field error in object 'board' on field 'content': rejected value [null]; codes [NotBlank.board.content,NotBlank.content,NotBlank.java.lang.String,NotBlank]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [board.content,content]; arguments []; default message [content]]; default message [내용은 공백일 수 없습니다]] ]
 -2023/06/07 16:46:57,229 [ERROR]  [com.example.demo.controller.ExceptionController] [http-nio-3000-exec-10]- httpMessageNotReadableExceptionHandler: JSON parse error: Unexpected character ('}' (code 125)): was expecting double-quote to start field name; nested exception is com.fasterxml.jackson.core.JsonParseException: Unexpected character ('}' (code 125)): was expecting double-quote to start field name
 at [Source: (org.springframework.util.StreamUtils$NonClosingInputStream); line: 3, column: 2]
 -2023/06/07 16:46:57,229 [WARN ]  [org.springframework.web.servlet.handler.AbstractHandlerExceptionResolver] [http-nio-3000-exec-10]- Resolved [org.springframework.http.converter.HttpMessageNotReadableException: JSON parse error: Unexpected character ('}' (code 125)): was expecting double-quote to start field name; nested exception is com.fasterxml.jackson.core.JsonParseException: Unexpected character ('}' (code 125)): was expecting double-quote to start field name<EOL> at [Source: (org.springframework.util.StreamUtils$NonClosingInputStream); line: 3, column: 2]]
 -2023/06/07 16:47:30,703 [INFO ]  [org.hibernate.validator.internal.util.Version] [background-preinit]- HV000001: Hibernate Validator 6.2.5.Final
 -2023/06/07 16:47:30,718 [INFO ]  [org.springframework.boot.StartupInfoLogger] [restartedMain]- Starting DemoApplication using Java 1.8.0_202 on JSK with PID 14620 (C:\Users\kstur\IdeaProjects\Prac02\target\classes started by kstur in C:\Users\kstur\IdeaProjects\Prac02)
 -2023/06/07 16:47:30,719 [DEBUG]  [org.springframework.boot.StartupInfoLogger] [restartedMain]- Running with Spring Boot v2.7.12, Spring v5.3.27
 -2023/06/07 16:47:30,720 [INFO ]  [org.springframework.boot.SpringApplication] [restartedMain]- No active profile set, falling back to 1 default profile: "default"
